id,word,word_type,pronunciation,meaning_en,meaning_vi,examples,patterns,usage_note,domain,priority,word_formation,ptnk_evidence,source_id,source_type,source_quality,official_status,cefr_status,cefr_source
PTNK26-0001,errand,n,/ˈer.ənd/,a task that involves going somewhere to take a message or to take or collect something,việc lặt vặt; một chuyến đi ngắn để làm việc gì đó cho ai,"I have a few errands to do before dinner.|She runs errands for elderly neighbors.",run errands; do errands,,general,P1,,2026 · Language Use · Q1 · correct answer,ptnk-2026-q01,ptnk_exam,official_source_page+transcription,official,not_verified,
PTNK26-0002,run errands,exp,,to go out to buy or do something,chạy việc vặt; đi làm việc cần thiết,"I need to run errands after work.|She runs errands for her family.",run errands for sb; run a few errands,,general,P1,,2026 · Language Use · Q1 · contextual pattern,ptnk-2026-q01,ptnk_exam,official_source_page+transcription,official,C1,Cambridge Dictionary
PTNK26-0003,menial,adj,/ˈmiː.ni.əl/,describing work that is boring or low in social value and needs little skill or education,công việc tẻ nhạt; ít kỹ năng và thường có giá trị xã hội thấp,"He started with menial work.|The job involves menial tasks.",menial work; menial job; menial task,disapproving,general,P2,,2026 · Language Use · Q1 · distractor,ptnk-2026-q01b,ptnk_exam,official_source_page+transcription,official,not_verified,
PTNK26-0004,derivative,adj,/dɪˈrɪv.ə.t̬ɪv/,developed from or copying something else rather than resulting from new ideas,phái sinh; thiếu tính nguyên bản; mang tính bắt chước,"The design feels derivative.|His style is highly derivative.",derivative of sth,disapproving,general,P1,derive → derivative,2026 · Language Use · Q2 · correct answer,ptnk-2026-q02,ptnk_exam,official_source_page+transcription,official,B1,Cambridge Dictionary
PTNK26-0005,discursive,adj,/dɪˈskɝː.sɪv/,talking about subjects that are only slightly connected with the main subject for longer than necessary,lan man; dài dòng và đi lệch khỏi chủ đề,"The essay became discursive.|Her speech was thoughtful but discursive.",discursive essay; discursive style,formal,general,P2,,2026 · Language Use · Q6 · correct answer,ptnk-2026-q06,ptnk_exam,official_source_page+transcription,official,not_verified,
PTNK26-0006,malleable,adj,/ˈmæl.i.ə.bəl/,easily influenced trained or controlled,dễ bị ảnh hưởng; dễ bị chi phối,"Young minds can be highly malleable.|The policy is still malleable.",malleable workforce; malleable mind,,general,P1,,2026 · Language Use · Q9 · correct answer,ptnk-2026-q09,ptnk_exam,official_source_page+transcription,official,not_verified,
PTNK26-0007,stick to your guns,idi,,to continue to hold your beliefs or follow a plan even when others disagree,kiên định với quan điểm hoặc kế hoạch của mình,"She stuck to her guns despite criticism.|He decided to stick to his guns.",stick to your guns on sth,,general,P2,,2026 · Language Use · Q15 · distractor,ptnk-2026-q15,ptnk_exam,official_source_page+transcription,official,C1,Cambridge Dictionary
PTNK26-0008,cotton on to,exp,,to begin to understand a situation or fact,bắt đầu hiểu ra; nhận ra,"It took me a while to cotton on to the trick.|She finally cottoned on to the problem.",cotton on to sth,informal,general,P1,,2026 · Language Use · Q16 · correct answer,ptnk-2026-q16,ptnk_exam,official_source_page+transcription,official,C1,Cambridge Dictionary
PTNK26-0009,square up to,exp,/skwer/,to deal with a problem or difficult person bravely and with determination,dũng cảm đối mặt với vấn đề hoặc người khó khăn,"She squared up to the problem.|He squared up to the challenge.",square up to sb/sth,UK; US face up to,general,P2,,2026 · Language Use · Q16 · distractor,ptnk-2026-q16b,ptnk_exam,official_source_page+transcription,official,not_verified,
PTNK26-0010,in the face of,idi,,despite having to deal with a difficult situation or problem,mặc dù phải đối mặt với; bất chấp,"They continued in the face of strong opposition.|She succeeded in the face of difficulties.",in the face of sth,C2,general,P1,,2026 · Language Use · Q25 · correct answer,ptnk-2026-q25,ptnk_exam,official_source_page+transcription,official,C2,Cambridge Dictionary
PTNK26-0011,clear the decks,idi,,to remove unnecessary things so that you are ready for action,dọn bỏ những thứ không cần thiết để sẵn sàng hành động,"We need to clear the decks first.|They cleared the decks before starting work.",clear the decks,informal,general,P1,,2026 · Language Use · Q26 · correct answer,ptnk-2026-q26,ptnk_exam,official_source_page+transcription,official,not_verified,
PTNK26-0012,out on a limb,idi,,in a situation where something bad could happen and you are not well protected,ở thế nguy hiểm hoặc bất lợi; bị cô lập,"He felt out on a limb after the decision.|The policy left small producers out on a limb.",go out on a limb; leave sb out on a limb,,general,P2,,2026 · Language Use · Q30 · distractor,ptnk-2026-q30,ptnk_exam,official_source_page+transcription,official,C1,Cambridge Dictionary
PTNK26-0013,cut your losses,idi,,to avoid losing any more money than you have already lost,cắt lỗ; tránh mất thêm,"They decided to cut their losses.|We should cut our losses and leave.",cut one's losses,,general,P1,,2026 · Language Use · Q31 · correct answer,ptnk-2026-q31,ptnk_exam,official_source_page+transcription,official,not_verified,
PTNK26-0014,raw data,exp,,data that has not yet been processed or analyzed,dữ liệu thô,"The researchers reviewed the raw data.|The report is based on raw data.",raw data,,academic/general,P3,,2026 · Language Use · Q32 · contextual vocabulary,ptnk-2026-q32,ptnk_exam,official_source_page+transcription,official,not_verified,
