source_id,source_name,source_type,source_role,publisher,url,version,cefr_coverage,data_types,frequency_available,acquisition_method,raw_cache_path,status,notes
ptnk-specialized-english-2022-2026,PTNK specialized English entrance papers,exam,ptnk_evidence,Trường Phổ thông Năng khiếu ĐHQG-HCM,https://ptnk.edu.vn/,2022-2026,not_applicable,exam structure; lexical evidence; grammar; reading; writing,no,manual/download,sources/ptnk-2026/,active,Primary PTNK evidence. Highest-priority source for exam structure and tested competencies.
english-vocabulary-in-use-advanced,English Vocabulary in Use Advanced,book,c1_candidate_lexicon,Cambridge University Press,https://shop.cambridge.org/english/product/2700185311,3rd edition,C1-C2,vocabulary; phrases; collocations; idiomatic language,partial,manual,books/english-vocabulary-in-use-advanced/,active,C1-C2 source; candidate-generation only. Do not treat the full book as required curriculum.
cambridge-vocabulary-for-advanced,Cambridge Vocabulary for Advanced,book,c1_candidate_lexicon,Cambridge University Press,https://shop.cambridge.org/english/search?query=Cambridge%20Vocabulary%20for%20Advanced,,C1,vocabulary; word formation; collocations; phrasal verbs; idioms,partial,manual,books/cambridge-vocabulary-for-advanced/,candidate,Exam-oriented C1 vocabulary source. Validate current publisher metadata before extraction.
advanced-grammar-in-use,Advanced Grammar in Use,book,grammar_reference,Cambridge University Press,https://shop.cambridge.org/english/product/2700216595,4th edition,C1-C2,advanced grammar; academic grammar,no,manual,books/advanced-grammar-in-use/,active,Grammar reference and practice. Use competency extraction rather than sequential completion.
advanced-language-practice,Advanced Language Practice,book,competency_practice,Macmillan Education,https://www.macmillanenglish.com/,3rd revised edition,advanced,grammar; vocabulary; Use of English,no,manual,books/advanced-language-practice/,active,High-value grammar/vocabulary practice source for lexical-grammar and Use of English competencies.
destination-c1-c2,Destination C1 & C2,book,competency_practice,Macmillan Education,https://www.macmillanenglish.com/us/catalogue/courses/skills-grammar-and-vocabulary/destination-grammar-and-vocabulary-series/levels-samples,,C1-C2,grammar; vocabulary; word formation; practice,no,manual,books/destination-c1-c2/,active,C1-C2 source. Useful for structured grammar/vocabulary practice and word-formation competencies.
objective-advanced,Objective Advanced,book,exam_coursebook,Cambridge University Press,https://www.cambridge.org/gb/titles/objective-advanced-4th-edition-students-book-without-answers-cd-rom,4th edition,C1,Reading; Use of English; Writing; Listening; Speaking; grammar; vocabulary,no,manual,books/objective-advanced/,active,C1 exam-preparation coursebook. Use selectively based on diagnostic gaps.
complete-advanced,Complete Advanced 3rd Edition,book,exam_coursebook,Cambridge University Press,https://www.cambridge.org/us/search?query=Complete%20Advanced&site=CE,3rd edition,C1,Reading; Use of English; Writing; Listening; Speaking; grammar; vocabulary,no,manual,books/complete-advanced/,active,C1 coursebook. Strong competency and transfer-practice source.
ready-for-advanced,Ready for Advanced 3rd Edition,book,exam_coursebook,Macmillan Education,https://www.macmillanenglish.com/us/catalogue/courses/exam-preparation/ready-for-advanced-3rd-edition/course-information,3rd edition,C1,Reading; Use of English; Writing; Listening; Speaking; grammar; vocabulary,no,manual,books/ready-for-advanced/,active,C1 exam-preparation course. Strong combined Reading and Use of English coverage.
expert-advanced,Expert Advanced,book,exam_coursebook,Pearson,https://www.pearson.com/nl/nl_NL/vo/tto/expert.html,3rd edition,C1,grammar; vocabulary; Reading; Writing; Listening; Speaking; exam practice,no,manual,books/expert-advanced/,active,C1 coursebook for high-achieving learners; use as supplementary competency source.
english-collocations-in-use-advanced,English Collocations in Use Advanced,book,c1_candidate_lexicon,Cambridge University Press,https://shop.cambridge.org/english/product/2700185002,2nd edition,C1-C2,collocations; academic writing language,partial,manual,books/english-collocations-in-use-advanced/,active,C1-C2 lexical source. High-value candidate source for lexical precision and collocation.
english-idioms-in-use-advanced,English Idioms in Use Advanced,book,c1_candidate_lexicon,Cambridge University Press,https://shop.cambridge.org/english/product/2700184975,2nd edition,C1-C2,idioms; fixed expressions,partial,manual,books/english-idioms-in-use-advanced/,active,C1-C2 lexical source. Candidate-generation only; prioritize PTNK-supported idioms.
english-phrasal-verbs-in-use-advanced,English Phrasal Verbs in Use Advanced,book,c1_candidate_lexicon,Cambridge University Press,https://shop.cambridge.org/english/product/2700184742,2nd edition,C1-C2,phrasal verbs; meanings; usage,partial,manual,books/english-phrasal-verbs-in-use-advanced/,active,C1-C2 lexical source. Strong candidate universe for phrasal-verb discrimination and Use of English.
c1-advanced-trainer-2,C1 Advanced Trainer 2,book,assessment,Cambridge University Press,https://shop.cambridge.org/english/product/2700229563,2nd edition,C1,six full practice tests; Reading and Use of English; Writing; Listening; Speaking,no,manual,books/c1-advanced-trainer-2/,active,Assessment and transfer source, not curriculum. Six C1 practice tests with guided training in the first two.
cambridge-c1-advanced-authentic-samples,Cambridge C1 Advanced authentic/sample tests,assessment,Cambridge English,https://www.cambridgeenglish.org/exams-and-tests/advanced/preparation/,current,C1,official sample tasks; Reading and Use of English; Writing; Listening; Speaking,no,manual/web,books/cambridge-c1-advanced-authentic-samples/,active,Official assessment evidence. Use for diagnostics and transfer validation, not content harvesting.
