id,expression,canonical_form,category,meaning_vi,context_or_pattern,ptnk_year,section,question,role,priority,study_mode,source_quality,source_note
id001,run errands,run errands,collocation,đi làm việc vặt,run errands,2026,Language Use,1,correct_answer,P1,learn,transcription,"Q1"
id002,my thoughts exactly,my thoughts exactly,fixed_expression,hoàn toàn đồng ý/đúng ý tôi,my thoughts exactly,2026,Language Use,2,correct_answer,P1,learn,transcription,"Q2"
id003,I beg to differ,I beg to differ,fixed_expression,tôi xin phép không đồng ý,I beg to differ,2026,Language Use,2,distractor,P2,learn,transcription,"Q2 option"
id004,that's a bit of a stretch,that's a bit of a stretch,fixed_expression,điều đó hơi gượng ép/khó tin,a bit of a stretch,2026,Language Use,2,distractor,P1,learn,transcription,"Q2 option"
id005,agree to disagree,agree to disagree,fixed_expression,đồng ý rằng mỗi người giữ quan điểm riêng,agree to disagree,2026,Language Use,2,distractor,P1,learn,transcription,"Q2 option"
id006,add up to,add up to,phrasal_verb,cộng lại thành,add up to,2026,Language Use,5,distractor,P2,recognize,transcription,"Q5 option"
id007,live up to,live up to,phrasal_verb,đáp ứng/đạt được kỳ vọng,live up to expectations,2026,Language Use,5,distractor,P1,learn,transcription,"Q5 option"
id008,check out with,check out with,phrasal_verb,khớp với/được xác nhận phù hợp,check out with,2026,Language Use,5,distractor,P3,defer,transcription,"Q5 option; verify against canonical exam"
id009,stick to one's guns,stick to one's guns,idiom,kiên định với lập trường,stick to one's guns,2026,Language Use,15,distractor,P1,learn,transcription,"Q15 option"
id010,play one's cards right,play one's cards right,idiom,xử lý khôn khéo để có lợi thế,play one's cards right,2026,Language Use,15,correct_answer,P1,learn,transcription,"Q15"
id011,follow one's nose,follow one's nose,idiom,làm theo trực giác,follow one's nose,2026,Language Use,15,distractor,P2,learn,transcription,"Q15 option"
id012,throw one's hat in the ring,throw one's hat in the ring,idiom,tham gia tranh cử/tham gia cuộc cạnh tranh,throw one's hat in the ring,2026,Language Use,15,distractor,P1,learn,transcription,"Q15 option"
id013,cotton on to,cotton on to,phrasal_verb,hiểu ra/nhận ra,cotton on to,2026,Language Use,16,correct_answer,P1,learn,transcription,"Q16"
id014,square up to,square up to,phrasal_verb,đương đầu với,square up to,2026,Language Use,16,distractor,P1,learn,transcription,"Q16 option"
id015,muscle in on,muscle in on,phrasal_verb,chen vào/xâm nhập,muscle in on,2026,Language Use,16,distractor,P2,learn,transcription,"Q16 option"
id016,pander to,pander to,phrasal_verb,nuông chiều/chiều theo,pander to,2026,Language Use,16,distractor,P2,learn,transcription,"Q16 option"
id017,jump to conclusions,jump to conclusions,idiom,vội vàng kết luận,jump to conclusions,2026,Language Use,17,distractor,P1,learn,transcription,"Q17 option"
id018,in the offing,in the offing,idiom,sắp xảy ra/dự kiến sắp tới,in the offing,2026,Language Use,20,correct_answer,P1,learn,transcription,"Q20"
id019,on the back burner,on the back burner,idiom,tạm gác lại để sau,on the back burner,2026,Language Use,20,distractor,P1,learn,transcription,"Q20 option"
id020,against the grain,against the grain,idiom,trái với thông lệ/đi ngược xu hướng,against the grain,2026,Language Use,20,distractor,P1,learn,transcription,"Q20 option"
id021,write someone off,write someone off,phrasal_verb,gạch tên/coi như không còn hy vọng,write someone off,2026,Language Use,22,correct_answer,P1,learn,transcription,"Q22"
id022,phase someone out,phase someone out,phrasal_verb,loại bỏ dần,phase someone out,2026,Language Use,22,distractor,P2,learn,transcription,"Q22 option"
id023,pass someone up,pass someone up,phrasal_verb,bỏ qua một cơ hội/người,pass someone up,2026,Language Use,22,distractor,P2,learn,transcription,"Q22 option"
id024,rule someone/something out,rule someone/something out,phrasal_verb,loại trừ khả năng,rule out,2026,Language Use,22,distractor,P1,learn,transcription,"Q22 option"
id025,in the face of,in the face of,prepositional_phrase,trước/đối mặt với,in the face of,2026,Language Use,25,correct_answer,P1,learn,transcription,"Q25"
id026,for the sake of,for the sake of,prepositional_phrase,vì lợi ích của,for the sake of,2026,Language Use,25,distractor,P1,learn,transcription,"Q25 option"
id027,on account of,on account of,prepositional_phrase,bởi vì/do,on account of,2026,Language Use,25,distractor,P2,learn,transcription,"Q25 option"
