id,expression,category,meaning_vi,ptnk_year,section,question,priority,source_note
id001,run errands,idiom,đi làm việc vặt,2026,Language Use,1,P1,"Q1"
id002,my thoughts exactly,fixed_expression,hoàn toàn đồng ý/đúng ý tôi,2026,Language Use,2,P1,"Q2"
id003,I beg to differ,fixed_expression,tôi xin phép không đồng ý,2026,Language Use,2,P1,"Q2 option"
id004,that's a bit of a stretch,fixed_expression,điều đó hơi gượng ép/khó tin,2026,Language Use,2,P1,"Q2 option"
id005,agree to disagree,fixed_expression,đồng ý rằng mỗi người giữ quan điểm riêng,2026,Language Use,2,P1,"Q2 option"
id006,add up to,phrasal_verb,cộng lại thành,2026,Language Use,5,P2,"Q5 option"
id007,live up to,phrasal_verb,đáp ứng/đạt được kỳ vọng,2026,Language Use,5,P1,"Q5 option"
id008,check out with,phrasal_verb,khớp với/được xác nhận phù hợp,2026,Language Use,5,P2,"Q5 option"
id009,stick to one's guns,idiom,kiên định với lập trường,2026,Language Use,15,P1,"Q15 option"
id010,play one's cards right,idiom,xử lý khôn khéo để có lợi thế,2026,Language Use,15,P1,"Q15"
id011,follow one's nose,idiom,làm theo trực giác,2026,Language Use,15,P2,"Q15 option"
id012,throw one's hat in the ring,idiom,tham gia tranh cử/tham gia cuộc cạnh tranh,2026,Language Use,15,P1,"Q15 option"
id013,cotton on to,phrasal_verb,hiểu ra/nhận ra,2026,Language Use,16,P1,"Q16"
id014,square up to,phrasal_verb,đương đầu với,2026,Language Use,16,P1,"Q16 option"
id015,muscle in on,phrasal_verb,chen vào/xâm nhập,2026,Language Use,16,P2,"Q16 option"
id016,pander to,phrasal_verb,nuông chiều/chiều theo,2026,Language Use,16,P2,"Q16 option"
id017,jump to conclusions,idiom,vội vàng kết luận,2026,Language Use,17,P1,"Q17 option"
id018,in the offing,idiom,sắp xảy ra/dự kiến sắp tới,2026,Language Use,20,P1,"Q20"
id019,on the back burner,idiom,tạm gác lại để sau,2026,Language Use,20,P1,"Q20 option"
id020,against the grain,idiom,trái với thông lệ/đi ngược xu hướng,2026,Language Use,20,P1,"Q20 option"
id021,write someone off,phrasal_verb,gạch tên/coi như không còn hy vọng,2026,Language Use,22,P1,"Q22"
id022,phase someone out,phrasal_verb,loại bỏ dần,2026,Language Use,22,P2,"Q22 option"
id023,pass someone up,phrasal_verb,bỏ qua một cơ hội/người,2026,Language Use,22,P2,"Q22 option"
id024,rule someone/something out,phrasal_verb,loại trừ khả năng,2026,Language Use,22,P1,"Q22 option"
id025,in the face of,prepositional_phrase,trước/đối mặt với,2026,Language Use,25,P1,"Q25"
id026,for the sake of,prepositional_phrase,vì lợi ích của,2026,Language Use,25,P1,"Q25 option"
id027,on account of,prepositional_phrase,bởi vì/do,2026,Language Use,25,P2,"Q25 option"
id028,clear the decks,idiom,dọn dẹp/chuẩn bị để xử lý việc mới,2026,Language Use,26,P1,"Q26"
id029,cut corners,idiom,cắt xén/rút ngắn bằng cách bỏ qua tiêu chuẩn,2026,Language Use,26,P1,"Q26 option"
id030,draw lines,idiom,vạch ra giới hạn,2026,Language Use,26,P2,"Q26 option"
id031,on a hiding to nothing,idiom,ở thế gần như chắc chắn thất bại,2026,Language Use,30,P2,"Q30"
id032,out on a limb,idiom,ở thế cô lập/bấp bênh,2026,Language Use,30,P2,"Q30 option"
id033,in the doldrums,idiom,trì trệ/uể oải,2026,Language Use,30,P2,"Q30 option"
id034,dig one's own grave,idiom,tự chuốc lấy hậu quả nghiêm trọng,2026,Language Use,30,P1,"Q30 option"
id035,cut one's losses,idiom,chấp nhận dừng để hạn chế thua lỗ,2026,Language Use,31,P1,"Q31"
id036,burn one's boats,idiom,tự cắt đường lui,2026,Language Use,31,P2,"Q31 option"
id037,bide one's time,idiom,kiên nhẫn chờ thời cơ,2026,Language Use,31,P1,"Q31 option"
id038,raise the stakes,idiom,tăng mức rủi ro/cược,2026,Language Use,31,P2,"Q31 option"
id039,at a disadvantage,fixed_expression,ở thế bất lợi,2026,Guided Cloze,57,P1,"Q57"
