id,lemma,category,meaning_vi,ptnk_year,section,question,priority,domain,cefr_status,source_note
v001,errand,vocabulary,việc vặt,2026,Language Use,1,P1,general,not_verified,"PTNK 2026 Q1"
v002,menial,vocabulary,thấp kém/nhàm chán (công việc),2026,Language Use,1,P1,general,not_verified,"PTNK 2026 Q1 option"
v003,derivative,vocabulary,mang tính sao chép/phái sinh,2026,Language Use,2,P1,general,not_verified,"PTNK 2026 Q2"
v004,discursive,vocabulary,lan man/dài dòng,2026,Language Use,6,P1,general,not_verified,"PTNK 2026 Q6"
v005,pretentious,vocabulary,khoa trương/ra vẻ,2026,Language Use,6,P1,general,not_verified,"PTNK 2026 Q6 option"
v006,fastidious,vocabulary,cầu kỳ/tỉ mỉ khó tính,2026,Language Use,6,P1,general,not_verified,"PTNK 2026 Q6 option"
v007,embellishment,vocabulary,chi tiết trang trí/tô điểm,2026,Language Use,7,P1,general,not_verified,"PTNK 2026 Q7"
v008,far-fetched,vocabulary,khó tin/gượng ép,2026,Language Use,8,P1,general,not_verified,"PTNK 2026 Q8"
v009,sporadic,vocabulary,lẻ tẻ/rải rác,2026,Language Use,9,P1,general,not_verified,"PTNK 2026 Q9 option"
v010,volatile,vocabulary,biến động/dễ thay đổi,2026,Language Use,9,P1,general,not_verified,"PTNK 2026 Q9 option"
v011,malleable,vocabulary,dễ bị ảnh hưởng/dễ uốn nắn,2026,Language Use,9,P1,general,not_verified,"PTNK 2026 Q9"
v012,sound,vocabulary,đúng đắn/vững chắc (sound judgement),2026,Language Use,10,P1,general,not_verified,"PTNK 2026 Q10"
v013,crossover,vocabulary,sự kết hợp/giao thoa,2026,Language Use,11,P1,general,not_verified,"PTNK 2026 Q11"
v014,intolerant,vocabulary,không khoan dung/không dung nạp,2026,Language Use,13,P1,general,not_verified,"PTNK 2026 Q13"
v015,repellant,vocabulary,gây khó chịu/xua đuổi,2026,Language Use,13,P2,general,not_verified,"PTNK 2026 Q13 option"
v016,averse,vocabulary,không thích/ác cảm với,2026,Language Use,13,P1,general,not_verified,"PTNK 2026 Q13 option"
v017,anecdotal,vocabulary,dựa trên giai thoại/lời kể chưa kiểm chứng,2026,Language Use,14,P1,academic,not_verified,"PTNK 2026 Q14"
v018,hypothetical,vocabulary,mang tính giả thuyết,2026,Language Use,14,P1,academic,not_verified,"PTNK 2026 Q14 option"
v019,irreverent,vocabulary,thiếu tôn trọng điều thiêng liêng,2026,Language Use,19,P1,general,not_verified,"PTNK 2026 Q19"
