source_id,source_type,source_quality,year,section,question,role,raw_lexical_item,context_note
ptnk-2026-q01,ptnk_exam,official_source_page+transcription,2026,Language Use,1,correct_answer,errands,"run all sorts of errands for him"
ptnk-2026-q01b,ptnk_exam,official_source_page+transcription,2026,Language Use,1,distractor,menial tasks,"option B in a contrast set with errands"
ptnk-2026-q02,ptnk_exam,official_source_page+transcription,2026,Language Use,2,correct_answer,derivative,"latest album feels completely derivative"
ptnk-2026-q06,ptnk_exam,official_source_page+transcription,2026,Language Use,6,correct_answer,discursive,"a highly discursive style"
ptnk-2026-q09,ptnk_exam,official_source_page+transcription,2026,Language Use,9,correct_answer,malleable,"children are described as malleable"
ptnk-2026-q15,ptnk_exam,official_source_page+transcription,2026,Language Use,15,distractor,stick to your guns,"one option in a phrase-choice item"
ptnk-2026-q16,ptnk_exam,official_source_page+transcription,2026,Language Use,16,correct_answer,cotton on to,"the joke never cottoned on to Ricky"
ptnk-2026-q16b,ptnk_exam,official_source_page+transcription,2026,Language Use,16,distractor,square up to,"one option in the same phrase-choice item"
ptnk-2026-q25,ptnk_exam,official_source_page+transcription,2026,Language Use,25,correct_answer,in the face of,"even in the face of legal action threats"
ptnk-2026-q26,ptnk_exam,official_source_page+transcription,2026,Language Use,26,correct_answer,clear the decks,"warehouse workers were instructed to clear the decks"
ptnk-2026-q30,ptnk_exam,official_source_page+transcription,2026,Language Use,30,distractor,out on a limb,"one option in a phrase-choice item"
ptnk-2026-q31,ptnk_exam,official_source_page+transcription,2026,Language Use,31,correct_answer,cut your losses,"the entrepreneur chose to cut his losses"
ptnk-2026-q32,ptnk_exam,official_source_page+transcription,2026,Language Use,32,reading_only,raw data,"only after the committee had reviewed the raw data"
