id,base_form,answer_form,meaning_vi,ptnk_year,section,question,priority,source_note
wf001,culture,counterculture,phản văn hóa,2026,Writing,106,P1,"PTNK 2026 Q106"
wf002,number,outnumbering,đông hơn/vượt số lượng,2026,Writing,107,P1,"PTNK 2026 Q107"
wf003,meat,meatless,không có thịt,2026,Writing,108,P1,"PTNK 2026 Q108"
wf004,ail,ailments,bệnh tật,2026,Writing,109,P1,"PTNK 2026 Q109"
wf005,just,justifiably,một cách chính đáng,2026,Writing,110,P1,"PTNK 2026 Q110"
wf006,profit,profitable,sinh lời/có lợi nhuận,2026,Writing,111,P1,"PTNK 2026 Q111"
wf007,balance,imbalances,sự mất cân bằng,2026,Writing,112,P1,"PTNK 2026 Q112"
wf008,high,heightened,được nâng cao/tăng lên,2026,Writing,113,P1,"PTNK 2026 Q113"
wf009,live,livestock,gia súc,2026,Writing,114,P1,"PTNK 2026 Q114"
wf010,confine,confinement,sự giam giữ/hạn chế,2026,Writing,115,P1,"PTNK 2026 Q115"
