id,lemma,canonical_form,category,meaning_vi,context,collocation_or_pattern,ptnk_year,section,question,role,priority,study_mode,domain,cefr_status,cefr_source,source_quality,source_note
v001,errand,run errands,vocabulary,việc vặt,"run errands",run errands,2026,Language Use,1,correct_answer,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q1"
v002,menial,menial tasks,vocabulary,thấp kém/nhàm chán (công việc),"menial tasks",menial task(s),2026,Language Use,1,distractor,P3,recognize,general,not_verified,,transcription,"PTNK 2026 Q1 option"
v003,derivative,derivative,vocabulary,mang tính phái sinh/sao chép,derivative,derivative of/from,2026,Language Use,2,correct_answer,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q2"
v004,discursive,discursive,vocabulary,lan man/dài dòng,discursive,discursive style,2026,Language Use,6,correct_answer,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q6"
v005,pretentious,pretentious,vocabulary,khoa trương/ra vẻ,pretentious,pretentious language/style,2026,Language Use,6,distractor,P2,learn,general,not_verified,,transcription,"PTNK 2026 Q6 option"
v006,fastidious,fastidious,vocabulary,cầu kỳ/tỉ mỉ khó tính,fastidious,fastidious about,2026,Language Use,6,distractor,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q6 option"
v007,embellishment,embellishment,vocabulary,chi tiết trang trí/tô điểm,embellishment,embellishment of,2026,Language Use,7,correct_answer,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q7"
v008,far-fetched,far-fetched,vocabulary,khó tin/gượng ép,far-fetched,far-fetched idea/explanation,2026,Language Use,8,correct_answer,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q8"
v009,sporadic,sporadic,vocabulary,lẻ tẻ/rải rác,sporadic,sporadic incidents/occurrences,2026,Language Use,9,distractor,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q9 option"
v010,volatile,volatile,vocabulary,biến động/dễ thay đổi,volatile,volatile situation/market,2026,Language Use,9,distractor,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q9 option"
v011,malleable,malleable,vocabulary,dễ bị ảnh hưởng/dễ uốn nắn, malleable,malleable character/mind,2026,Language Use,9,correct_answer,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q9"
v012,sound,sound judgement,vocabulary,đúng đắn/vững chắc,sound judgement,sound judgement,2026,Language Use,10,correct_answer,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q10"
v013,crossover,crossover,vocabulary,sự kết hợp/giao thoa,crossover,crossover between,2026,Language Use,11,correct_answer,P2,learn,general,not_verified,,transcription,"PTNK 2026 Q11"
v014,intolerant,intolerant,vocabulary,không khoan dung/không dung nạp,intolerant,intolerant of,2026,Language Use,13,correct_answer,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q13"
v015,repellant,repellent/repellant,vocabulary,gây khó chịu/xua đuổi,repellent/repellant,repellent to,2026,Language Use,13,distractor,P3,recognize,general,not_verified,,transcription,"PTNK 2026 Q13 option; spelling variant needs verification"
v016,averse,averse,vocabulary,không thích/ác cảm với,averse,averse to,2026,Language Use,13,distractor,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q13 option"
v017,anecdotal,anecdotal,vocabulary,dựa trên giai thoại/lời kể,anecdotal,anecdotal evidence,2026,Language Use,14,correct_answer,P1,learn,academic,not_verified,,transcription,"PTNK 2026 Q14"
v018,hypothetical,hypothetical,vocabulary,mang tính giả thuyết,hypothetical,hypothetical situation,2026,Language Use,14,distractor,P1,learn,academic,not_verified,,transcription,"PTNK 2026 Q14 option"
v019,irreverent,irreverent,vocabulary,thiếu tôn trọng điều thiêng liêng,irreverent,irreverent attitude/humour,2026,Language Use,19,correct_answer,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q19"
v020,irreconcilable,irreconcilable,vocabulary,không thể hòa giải,irreconcilable,irreconcilable differences,2026,Language Use,19,distractor,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q19 option"
v021,incorrigible,incorrigible,vocabulary,không thể sửa chữa/cải tạo,incorrigible,incorrigible optimist/child,2026,Language Use,19,distractor,P2,learn,general,not_verified,,transcription,"PTNK 2026 Q19 option"
v022,insulated,insulated,vocabulary,cách ly/không chịu tác động từ,insulated,insulated from,2026,Language Use,33,correct_answer,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q33"
v023,fecund,fecund,vocabulary,màu mỡ/dồi dào khả năng sinh sản,fecund,fecund land/mind,2026,Language Use,34,correct_answer,P3,recognize,general,not_verified,,transcription,"PTNK 2026 Q34"
v024,stimulus,stimulus,vocabulary,kích thích tố/biện pháp kích thích,stimulus,stimulus to/for,2026,Language Use,35,correct_answer,P1,learn,academic,not_verified,,transcription,"PTNK 2026 Q35"
v025,intrinsic,intrinsic,vocabulary,thuộc bản chất/cốt lõi,intrinsic,intrinsic to,2026,Language Use,37,correct_answer,P1,learn,academic,not_verified,,transcription,"PTNK 2026 Q37"
v026,systemic,systemic,vocabulary,mang tính hệ thống,systemic,systemic problem/change,2026,Language Use,37,distractor,P2,learn,academic,not_verified,,transcription,"PTNK 2026 Q37 option"
v027,ingrained,ingrained,vocabulary,ăn sâu/thâm căn cố đế,ingrained,deeply ingrained,2026,Language Use,37,distractor,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q37 option"
v028,trigger,trigger anxiety,vocabulary,gây ra/kích hoạt,"trigger anxiety",trigger + noun,2026,Guided Cloze,42,correct_answer,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q42"
v029,evoke,evoke emotions/memories,vocabulary,gợi lên cảm xúc/ký ức,"evoke emotions/memories",evoke + noun,2026,Guided Cloze,42,distractor,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q42 option"
v030,apprehension,apprehension,vocabulary,sự lo ngại/e ngại,apprehension,with apprehension,2026,Guided Cloze,49,correct_answer,P1,learn,academic,not_verified,,transcription,"PTNK 2026 guided cloze"
v031,summarily,summarily dismissed,vocabulary,một cách nhanh chóng và dứt khoát,"summarily dismissed",summarily dismiss,2026,Guided Cloze,51,correct_answer,P2,recognize,general,not_verified,,transcription,"PTNK 2026 Q51"
v032,reinforce,reinforce memory,vocabulary,củng cố/tăng cường,"reinforce memory",reinforce + noun,2026,Guided Cloze,52,correct_answer,P1,learn,academic,not_verified,,transcription,"PTNK 2026 Q52"
v033,scaffold,scaffold for thought,vocabulary,khung/nền tảng hỗ trợ,"scaffold for thought",scaffold for learning/thought,2026,Guided Cloze,58,correct_answer,P2,recognize,academic,not_verified,,transcription,"PTNK 2026 Q58"
v034,exacerbate,exacerbate,vocabulary,làm trầm trọng thêm,exacerbate,exacerbate a problem,2026,Guided Cloze,60,distractor,P1,learn,academic,not_verified,,transcription,"PTNK 2026 Q60 option"
v035,ingenuity,ingenuity,vocabulary,sự khéo léo/sáng tạo,ingenuity,resourcefulness and ingenuity,2026,Open Cloze,64,correct_answer,P1,learn,academic,not_verified,,transcription,"PTNK 2026 Q64"
v036,marginal,marginal,vocabulary,bên lề/không thuộc dòng chính,marginal,marginal role/benefit,2026,Open Cloze,67,correct_answer,P1,learn,academic,not_verified,,transcription,"PTNK 2026 Q67"
v037,insidious,insidious,vocabulary,ngấm ngầm và nguy hiểm,insidious,insidious effects/underbelly,2026,Open Cloze,76-80,reading_only,P1,learn,academic,not_verified,,transcription,"PTNK 2026 AI slop passage"
v038,rampant,rampant,vocabulary,tràn lan/không kiểm soát,rampant,rampant growth/problem,2026,Open Cloze,80,correct_answer,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q80"
v039,chronically,chronically underpaid,vocabulary,một cách dai dẳng/liên tục,"chronically underpaid",chronically + adjective,2026,Reading,86,reading_only,P2,recognize,general,not_verified,,transcription,"PTNK 2026 Q86"
v040,plethora,plethora of,vocabulary,rất nhiều/vô số,"plethora of",a plethora of,2026,Reading,passage 1,reading_only,P2,recognize,academic,not_verified,,transcription,"PTNK 2026 library passage"
v041,regrettably,regrettably,vocabulary,đáng tiếc là,regrettably,regrettably + clause,2026,Reading,85,correct_answer,P2,recognize,general,not_verified,,transcription,"PTNK 2026 Q85"
v042,innate,innate ability,vocabulary,bẩm sinh,"innate ability",innate ability,2026,Reading,101,reading_only,P1,learn,academic,not_verified,,transcription,"PTNK 2026 Q101"
v043,kinship,kinship,vocabulary,quan hệ họ hàng,kinship,kinship between,2026,Reading,102,reading_only,P3,recognize,social_science,not_verified,,transcription,"PTNK 2026 Q102"
v044,lexicon,lexicon,vocabulary,kho từ vựng,lexicon,language lexicon,2026,Reading,103,reading_only,P1,learn,linguistics,not_verified,,transcription,"PTNK 2026 Q103"
v045,prodigious,prodigious,vocabulary,rất lớn/phi thường,prodigious,prodigious talent/amount,2026,Writing,109-115,reading_only,P2,recognize,general,not_verified,,transcription,"PTNK 2026 word formation passage"
v046,condone,condone,vocabulary,dung thứ/chấp nhận điều sai trái,condone,condone + noun/gerund,2026,Writing,114,correct_answer,P1,learn,general,not_verified,,transcription,"PTNK 2026 Q114"
v047,livestock,livestock,vocabulary,gia súc,livestock,livestock farming,2026,Writing,114,reading_only,P3,recognize,agriculture,not_verified,,transcription,"PTNK 2026 Q114"
v048,confinement,confinement,vocabulary,sự giam giữ/hạn chế không gian,confinement,under confinement,2026,Writing,115,correct_answer,P2,learn,general,not_verified,,transcription,"PTNK 2026 Q115"
v049,monumental,monumental,vocabulary,khổng lồ/vượt bậc,monumental,monumental achievement/advancement,2026,Writing,Error Correction,reading_only,P2,recognize,academic,not_verified,,transcription,"PTNK 2026 error correction passage"
v050,incredulity,incredulity,vocabulary,sự hoài nghi/không tin nổi,incredulity,incredulity at/about,2026,Writing,106-115,reading_only,P1,learn,general,not_verified,,transcription,"PTNK 2026 word formation passage"
